Fecha,Tarde/Noche,Centena,Fijo,1er Corrido,2do Corrido
21/12/2008,N,2,32,85,95
22/12/2008,T,4,33,70,36
22/12/2008,N,1,55,58,32
23/12/2008,T,5,74,93,88
23/12/2008,N,8,20,79,6
24/12/2008,T,8,51,59,4
24/12/2008,N,3,84,72,76
25/12/2008,T,0,54,83,10
25/12/2008,N,2,57,29,73
26/12/2008,T,9,44,46,54
26/12/2008,N,6,44,14,2
27/12/2008,T,3,79,31,18
27/12/2008,N,7,41,40,58
28/12/2008,T,5,30,1,79
28/12/2008,N,7,94,75,56
29/12/2008,T,9,78,81,4
29/12/2008,N,6,65,23,10
30/12/2008,T,7,74,18,64
30/12/2008,N,1,70,36,1
31/12/2008,T,6,22,36,37
31/12/2008,N,4,19,44,87
01/01/2009,T,2,7,5,67
01/01/2009,N,6,39,17,81
02/01/2009,T,1,90,75,9
02/01/2009,N,6,46,31,64
03/01/2009,T,5,6,90,56
03/01/2009,N,1,46,43,97
04/01/2009,T,1,95,67,78
04/01/2009,N,8,39,81,66
05/01/2009,T,6,97,55,83
05/01/2009,N,1,63,58,0
06/01/2009,T,5,70,30,94
06/01/2009,N,1,22,25,22
07/01/2009,T,0,82,6,66
07/01/2009,N,1,30,33,44
08/01/2009,T,2,88,83,36
08/01/2009,N,8,74,69,52
09/01/2009,T,4,1,1,49
09/01/2009,N,1,58,47,49
10/01/2009,T,1,61,40,8
10/01/2009,N,9,92,26,40
11/01/2009,T,8,80,22,0
11/01/2009,N,8,26,6,26
12/01/2009,T,4,54,22,27
12/01/2009,N,7,48,99,11
13/01/2009,T,2,68,68,41
13/01/2009,N,2,24,78,98
14/01/2009,T,0,88,95,1
14/01/2009,N,8,90,33,7
15/01/2009,T,4,63,72,38
15/01/2009,N,9,25,37,7
16/01/2009,T,2,21,86,44
16/01/2009,N,6,9,91,6
17/01/2009,T,9,93,47,36
17/01/2009,N,5,28,74,73
18/01/2009,T,5,16,93,95
18/01/2009,N,5,55,14,29
19/01/2009,T,7,10,61,71
19/01/2009,N,3,54,53,59
